ioc	iocType	response	mail	origin	Requester	info	confidence	risk
161.1.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
161.60.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
162.208.124.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
162.213.131.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
162.249.20.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
162.71.0.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.198.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.250.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.254.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.47.19.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.50.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
163.53.247.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.137.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.155.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.215.103.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.6.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.79.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
164.88.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
165.102.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
165.154.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
165.154.252.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
165.3.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.158.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
167.160.189.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
