type	value	source	score	tags
ip	103.55.67.180	Boletines	50	malware_ip
ip	103.56.19.113	Boletines	50	malware_ip
ip	103.56.19.157	Boletines	50	malware_ip
ip	103.56.19.42	Boletines	50	malware_ip
ip	103.60.220.48	Boletines	50	malware_ip
ip	103.61.139.71	Boletines	50	malware_ip
ip	103.61.139.72	Boletines	50	malware_ip
ip	103.61.139.74	Boletines	50	malware_ip
ip	103.61.139.75	Boletines	50	malware_ip
ip	103.61.139.78	Boletines	50	malware_ip
ip	103.61.139.79	Boletines	50	malware_ip
ip	103.65.195.95	Boletines	50	malware_ip
ip	103.65.236.53	Boletines	50	malware_ip
ip	103.74.123.51	Boletines	50	malware_ip
ip	103.75.190.224	Boletines	50	malware_ip
ip	103.75.190.50	Boletines	50	malware_ip
ip	103.76.160.110	Boletines	50	malware_ip
ip	103.78.242.62	Boletines	50	malware_ip
ip	103.8.112.222	Boletines	50	malware_ip
ip	103.8.25.84	Boletines	50	malware_ip
ip	103.8.26.102	Boletines	50	malware_ip
ip	103.8.26.103	Boletines	50	malware_ip
ip	103.80.134.26	Boletines	50	malware_ip
ip	103.80.134.27	Boletines	50	malware_ip
ip	103.80.134.40	Boletines	50	malware_ip
ip	103.80.134.41	Boletines	50	malware_ip
ip	103.80.134.42	Boletines	50	malware_ip
ip	103.80.134.48	Boletines	50	malware_ip
ip	103.80.134.49	Boletines	50	malware_ip
ip	103.80.134.50	Boletines	50	malware_ip
ip	103.80.134.51	Boletines	50	malware_ip
ip	103.80.134.52	Boletines	50	malware_ip
ip	103.80.134.53	Boletines	50	malware_ip
ip	103.80.134.54	Boletines	50	malware_ip
ip	103.85.24.121	Boletines	50	malware_ip
ip	103.85.24.122	Boletines	50	malware_ip
ip	103.85.24.81	Boletines	50	malware_ip
ip	103.86.49.11	Boletines	50	malware_ip
ip	103.9.226.57	Boletines	50	malware_ip
ip	103.91.208.32	Boletines	50	malware_ip
ip	103.91.64.134	Boletines	50	malware_ip
ip	103.93.76.135	Boletines	50	malware_ip
ip	103.99.0.188	Boletines	50	malware_ip
ip	1.03151E+11	Boletines	50	malware_ip
ip	1.03246E+11	Boletines	50	malware_ip
ip	104.128.189.34	Boletines	50	malware_ip
ip	104.129.171.172	Boletines	50	malware_ip
ip	104.136.151.73	Boletines	50	malware_ip
ip	104.137.140.198	Boletines	50	malware_ip
ip	104.144.207.211	Boletines	50	malware_ip
ip	104.148.42.153	Boletines	50	malware_ip
ip	104.152.52.251	Boletines	50	malware_ip
ip	104.156.227.195	Boletines	50	malware_ip
ip	104.161.24.86	Boletines	50	malware_ip
ip	104.168.102.178	Boletines	50	malware_ip
ip	104.168.140.23	Boletines	50	malware_ip
ip	104.168.155.143	Boletines	50	malware_ip
ip	104.168.175.78	Boletines	50	malware_ip
ip	104.168.211.246	Boletines	50	malware_ip
ip	104.168.249.50	Boletines	50	malware_ip
ip	104.169.46.207	Boletines	50	malware_ip
ip	104.171.123.110	Boletines	50	malware_ip
